frequency,vm(out)
1.000000e-01,1.789387e+02
1.258925e-01,1.789379e+02
1.584893e-01,1.789367e+02
1.995262e-01,1.789348e+02
2.511886e-01,1.789318e+02
3.162278e-01,1.789270e+02
3.981072e-01,1.789194e+02
5.011872e-01,1.789074e+02
6.309573e-01,1.788883e+02
7.943282e-01,1.788582e+02
1.000000e+00,1.788104e+02
1.258925e+00,1.787347e+02
1.584893e+00,1.786150e+02
1.995262e+00,1.784258e+02
2.511886e+00,1.781271e+02
3.162278e+00,1.776568e+02
3.981072e+00,1.769189e+02
5.011872e+00,1.757682e+02
6.309573e+00,1.739894e+02
7.943282e+00,1.712777e+02
1.000000e+01,1.672281e+02
1.258925e+01,1.613598e+02
1.584893e+01,1.532057e+02
1.995262e+01,1.424856e+02
2.511886e+01,1.293171e+02
3.162278e+01,1.143277e+02
3.981072e+01,9.853981e+01
5.011872e+01,8.305990e+01
6.309573e+01,6.876939e+01
7.943282e+01,5.618063e+01
1.000000e+02,4.546394e+01
1.258925e+02,3.655593e+01
1.584893e+02,2.926961e+01
1.995262e+02,2.337294e+01
2.511886e+02,1.863419e+01
3.162278e+02,1.484363e+01
3.981072e+02,1.182118e+01
5.011872e+02,9.416958e+00
6.309573e+02,7.508487e+00
7.943282e+02,5.996893e+00
1.000000e+03,4.802971e+00
